raw,standard,score
reag|grady|,grady,90.0
reag|ware|,ware,90.0
reag|oglethorpe|,oglethorpe,90.0
liberty,liberty,100.0
whitfield,whitfield,100.0
habersham,habersham,100.0
bryan co,bryan,90.0
muscogee,muscogee,100.0
gordon,gordon,100.0
reag|worth|,worth,90.0
reag|early|,early,90.0
reag|elbert|,elbert,90.0
richmond,richmond,100.0
reag|wilcox|,wilcox,90.0
union,union,100.0
reag|long|,long,90.0
reag|mcduffie|,mcduffie,90.0
carroll,carroll,100.0
wheeler,wheeler,100.0
reag|clinch|,clinch,90.0
reag|crisp|,crisp,90.0
reag|gordon|,gordon,90.0
oconee,oconee,100.0
reag|dodge|,dodge,90.0
reag|clay|,clay,90.0
grady,grady,100.0
talbot,talbot,100.0
schley,schley,100.0
fayette,fayette,100.0
lanier,lanier,100.0
lumpkin,lumpkin,100.0
berrien,berrien,100.0
polk,polk,100.0
ben hill,ben hill,100.0
marion,marion,100.0
paulding,paulding,100.0
peach,peach,100.0
reag|coffee|,coffee,90.0
reag|wheeler|,wheeler,90.0
treutlen,treutlen,100.0
brantley,brantley,100.0
echols,echols,100.0
screven,screven,100.0
harris,harris,100.0
reag|banks|,banks,90.0
reag|turner|,turner,90.0
hancock,hancock,100.0
glynn,glynn,100.0
gwinnett,gwinnett,100.0
tn,putnam,90.0
lee,lee,100.0
reag|jeff davis|,jeff davis,90.0
effingham,effingham,100.0
reag|pike|,pike,90.0
reag|thomas|,thomas,90.0
reag|wayne|,wayne,90.0
turner,turner,100.0
reag|chattooga|,chattooga,90.0
spalding,spalding,100.0
reag|cobb|,cobb,90.0
monroe,monroe,100.0
reag|cherokee|,cherokee,90.0
reag|troup|,troup,90.0
clinch,clinch,100.0
reag|cook|,cook,90.0
jasper,jasper,100.0
atkinson,atkinson,100.0
stewart,stewart,100.0
elbert,elbert,100.0
reag|jackson|,jackson,90.0
toombs,toombs,100.0
reag|sumter|,sumter,90.0
reag|macon|,macon,90.0
reag|meriwether|,meriwether,90.0
reag|morgan|,morgan,90.0
rockdale,rockdale,100.0
reag|lumpkin|,lumpkin,90.0
reag|madison|,madison,90.0
ga,chattooga,90.0
reag|oconee|,oconee,90.0
boun|cherokee|,cherokee,90.0
bacon,bacon,100.0
reag|newton|,newton,90.0
burke,burke,100.0
appling,appling,100.0
chatham,chatham,100.0
clayton,clayton,100.0
coffee,coffee,100.0
candler,candler,100.0
reag|screven|,screven,90.0
reag|muscogee|,muscogee,90.0
reag|lamar|,lamar,90.0
reag|greene|,greene,90.0
reag|bartow|,bartow,90.0
jones,jones,100.0
heard,heard,100.0
reag|jefferson|,jefferson,90.0
reag|echols|,echols,90.0
tift,tift,100.0
reag|atkinson|,atkinson,90.0
mcintosh,mcintosh,100.0
bartow,bartow,100.0
miller,miller,100.0
boun|bartow|,bartow,90.0
reag|rabun|,rabun,90.0
reag|bulloch|,bulloch,90.0
early,early,100.0
reag|walker|,walker,90.0
reag|pierce|,pierce,90.0
reag|candler|,candler,90.0
cherokee,cherokee,100.0
butts,butts,100.0
reag|harris|,harris,90.0
reag|taylor|,taylor,90.0
reag|dooly|,dooly,90.0
reag|bibb|,bibb,90.0
reag|clarke|,clarke,90.0
dooly,dooly,100.0
morgan,morgan,100.0
bryan,bryan,100.0
reag|butts|,butts,90.0
twiggs,twiggs,100.0
reag|crawford|,crawford,90.0
reag|wilkes|,wilkes,90.0
reag|decatur|,decatur,90.0
henry,henry,100.0
coweta,coweta,100.0
boun|cobb|,cobb,90.0
reag|habersham|,habersham,90.0
reag|evans|,evans,90.0
reag|baker|,baker,90.0
reag|richmond|,richmond,90.0
lamar,lamar,100.0
washington,washington,100.0
camden,camden,100.0
reag|rockdale|,rockdale,90.0
reag|jenkins|,jenkins,90.0
emanuel,emanuel,100.0
mcduffie,mcduffie,100.0
reag|laurens|,laurens,90.0
fannin,fannin,100.0
houston,houston,100.0
white,white,100.0
dade,dade,100.0
decatur,decatur,100.0
reag|walton|,walton,90.0
meriwether,meriwether,100.0
reag|paulding|,paulding,90.0
reag|jasper|,jasper,90.0
forsyth,forsyth,100.0
reag|glascock|,glascock,90.0
reag|randolph|,randolph,90.0
reag|murray|,murray,90.0
mcintosh co,mcintosh,95.0
reag|talbot|,talbot,90.0
telfair,telfair,100.0
reag|seminole|,seminole,90.0
reag|houston|,houston,90.0
reag|peach|,peach,90.0
reag|hall|,hall,90.0
laurens,laurens,100.0
reag|haralson|,haralson,90.0
dawson,dawson,100.0
liberty co,liberty,95.0
reag|telfair|,telfair,90.0
reag|franklin|,franklin,90.0
cobb,cobb,100.0
reag|catoosa|,catoosa,90.0
charlton,charlton,100.0
reag|mitchell|,mitchell,90.0
long,long,100.0
reag|carroll|,carroll,90.0
reag|bryan|,bryan,90.0
glascock,glascock,100.0
reag|montgomery|,montgomery,90.0
rabun,rabun,100.0
reag|putnam|,putnam,90.0
towns,towns,100.0
pike,pike,100.0
reag|dawson|,dawson,90.0
chattooga,chattooga,100.0
troup,troup,100.0
reag|white|,white,90.0
evans,evans,100.0
boun|fulton|,fulton,90.0
dougherty,dougherty,100.0
reag|clayton|,clayton,90.0
reag|heard|,heard,90.0
reag|charlton|,charlton,90.0
reag|schley|,schley,90.0
walker,walker,100.0
crisp,crisp,100.0
reag|bacon|,bacon,90.0
reag|treutlen|,treutlen,90.0
reag|johnson|,johnson,90.0
johnson,johnson,100.0
stephens,stephens,100.0
reag|coweta|,coweta,90.0
lowndes,lowndes,100.0
bleckley,bleckley,100.0
tattnall,tattnall,100.0
dekalb,dekalb,100.0
baker,baker,100.0
quitman,quitman,100.0
reag|pulaski|,pulaski,90.0
bulloch,bulloch,100.0
reag|hancock|,hancock,90.0
reag|liberty|,liberty,90.0
chattahoochee,chattahoochee,100.0
reag|forsyth|,forsyth,90.0
reag|baldwin|,baldwin,90.0
jackson,jackson,100.0
reag|brantley|,brantley,90.0
reag|effingham|,effingham,90.0
reag|stewart|,stewart,90.0
upson,upson,100.0
clarke,clarke,100.0
sumter,sumter,100.0
reag|columbia|,columbia,90.0
wilkinson,wilkinson,100.0
reag|lincoln|,lincoln,90.0
baldwin,baldwin,100.0
reag|calhoun|,calhoun,90.0
reag|glynn|,glynn,90.0
seminole,seminole,100.0
reag|hart|,hart,90.0
franklin,franklin,100.0
reag|jones|,jones,90.0
reag|dekalb|,dekalb,90.0
greene,greene,100.0
catoosa,catoosa,100.0
reag|pickens|,pickens,90.0
wilcox,wilcox,100.0
webster,webster,100.0
reag|upson|,upson,90.0
reag|webster|,webster,90.0
walton,walton,100.0
banks,banks,100.0
irwin,irwin,100.0
reag|lee|,lee,90.0
reag|douglas|,douglas,90.0
mitchell,mitchell,100.0
floyd,floyd,100.0
reag|appling|,appling,90.0
reag|warren|,warren,90.0
reag|fulton|,fulton,90.0
reag|spalding|,spalding,90.0
reag|tattnall|,tattnall,90.0
reag|dade|,dade,90.0
putnam,putnam,100.0
pulaski,pulaski,100.0
boun|paulding|,paulding,90.0
terrell,terrell,100.0
dodge,dodge,100.0
reag|twiggs|,twiggs,90.0
gilmer,gilmer,100.0
reag|taliaferro|,taliaferro,90.0
cook,cook,100.0
reag|washington|,washington,90.0
reag|whitfield|,whitfield,90.0
jefferson,jefferson,100.0
pickens,pickens,100.0
jenkins,jenkins,100.0
reag|henry|,henry,90.0
reag|tift|,tift,90.0
murray,murray,100.0
reag|burke|,burke,90.0
reag|chatham|,chatham,90.0
wayne,wayne,100.0
randolph,randolph,100.0
reag|fayette|,fayette,90.0
macon,macon,100.0
barrow,barrow,100.0
reag|dougherty|,dougherty,90.0
bibb,bibb,100.0
ware,ware,100.0
newton,newton,100.0
reag|quitman|,quitman,90.0
reag|camden|,camden,90.0
reag|barrow|,barrow,90.0
reag|wilkinson|,wilkinson,90.0
oglethorpe,oglethorpe,100.0
calhoun,calhoun,100.0
fulton,fulton,100.0
clay,clay,100.0
reag|colquitt|,colquitt,90.0
reag|brooks|,brooks,90.0
reag|stephens|,stephens,90.0
reag|emanuel|,emanuel,90.0
reag|gilmer|,gilmer,90.0
reag|berrien|,berrien,90.0
haralson,haralson,100.0
montgomery,montgomery,100.0
lincoln,lincoln,100.0
colquitt,colquitt,100.0
brooks,brooks,100.0
nc,lincoln,90.0
warren,warren,100.0
reag|mcintosh|,mcintosh,90.0
hall,hall,100.0
reag|monroe|,monroe,90.0
wilkes,wilkes,100.0
pierce,pierce,100.0
reag|polk|,polk,90.0
reag|marion|,marion,90.0
reag|ben hill|,ben hill,90.0
reag|bleckley|,bleckley,90.0
thomas,thomas,100.0
hart,hart,100.0
jeff davis,jeff davis,100.0
reag|miller|,miller,90.0
reag|toombs|,toombs,90.0
taylor,taylor,100.0
long co,long,90.0
reag|terrell|,terrell,90.0
columbia,columbia,100.0
madison,madison,100.0
reag|irwin|,irwin,90.0
reag|lanier|,lanier,90.0
crawford,crawford,100.0
reag|gwinnett|,gwinnett,90.0
taliaferro,taliaferro,100.0
douglas,douglas,100.0
reag|floyd|,floyd,90.0
reag|lowndes|,lowndes,90.0
worth,worth,100.0
